Sentence,Technique,Span,article_id,active,euphimism,details,exaggeration,bragging,litote,repetition,metaphor,he said,apparent denial,apparent concession,blame transfer,other kinds,opinion,irony
"""(T)his is the kind of work the US Government needs to do every day to make our sanctions regimes effective without creating such burdens on allies and partners that they are pushed to work around our financial dominance,"" Blanc said.",Flag-Waving,our,762200179,,,,,,,,,,,,,,,
"""(T)his is the kind of work the US Government needs to do every day to make our sanctions regimes effective without creating such burdens on allies and partners that they are pushed to work around our financial dominance,"" Blanc said.",Flag-Waving,our,762200179,,,,,,,,,,,,,,,
"""A failure by the United States to defend its allies or promote new political arrangements for (Syria and Iraq) will lead only to more war, the rise of new terrorist threats, and, ultimately, the necessity of more U.S.
intervention.""",Appeal_to_fear-prejudice,"A failure by the United States to defend its allies or promote new political arrangements for (Syria and Iraq) will lead only to more war, the rise of new terrorist threats, and, ultimately, the necessity of more U.S.
intervention",700461600,,,,,,,,,,,,,,,
"""Absurd as it may sound the danger we face comes from the West, from politicians in Brussels, Berlin and Paris,"" Orban said to loud applause.",Appeal_to_fear-prejudice,"the danger we face comes from the West, from politicians in Brussels, Berlin and Paris",731927633,,,,,,,,,,,,,,,
"""Any Jew who opposes the Occupation — or opposes Zionism itself — knows that feeling of being shunned from the places that are supposed to shelter and nurture you: families, synagogues, community centers, arts organizations,"" Fishback continues.",Appeal_to_fear-prejudice,"Any Jew who opposes the Occupation — or opposes Zionism itself — knows that feeling of being shunned from the places that are supposed to shelter and nurture you: families, synagogues, community centers, arts organizations,""",698018235,,,,,,,,,,,,,,,
"""Australia is a continent; it is not a country.",Repetition,it is not a country,729561658,,,,,,,,,,,,,,,
"""Australia is a continent; it is not a country.",Doubt,Australia is a continent; it is not a country,729561658,,,,,,,,,,,,,,,
"""Christianity is Europe's last hope,"" Orban told an audience of party faithful at the foot of the Royal Castle in Budapest.",Flag-Waving,Christianity is Europe's last hope,731927633,,,,,,,,,,,,,,,
"""Despite the fervor of President Trump's Republican opponents, the president's brand of hard-edged nationalism—with its gut-level cultural appeals and hard lines on trade and immigration—is taking root within his adopted party.""",Loaded_Language,hard-edged,761674108,,,,,,,,,,,,,,,
"""Despite the fervor of President Trump's Republican opponents, the president's brand of hard-edged nationalism—with its gut-level cultural appeals and hard lines on trade and immigration—is taking root within his adopted party.""",Loaded_Language,gut-level,761674108,,,,,,,,,,,,,,,
"""Did he know something that Stephen Paddock was going to do?",Doubt,Did he know something that Stephen Paddock was going to do,727736557,,,,,,,,,,,,,,,
"""For us, Hungary is first.",Slogans,"For us, Hungary is first",729668796,,,,,,,,,,,,,,,
"""For us, Hungary is first.",Flag-Waving,"For us, Hungary is first",729668796,,,,,,,,,,,,,,,
"""Haig is likely a CIA cut-out who is just upholding the public narrative in conjunction with the FBI Las Vegas and the LVMPD.""","Name_Calling,Labeling",a CIA cut-out,727736557,,,,,,,,,,,,,,,
"""He is as connected (to Paddock) as the guy who sold him a hamburger for lunch,"" Victor said.","Exaggeration,Minimisation",the guy who sold him a hamburger for lunch,727174208,,,,,,,,,,,,,,,
"""He is very talented,"" Trump said, citing Kim's ability to ""take over a situation like he did at 26 years of age and run it, and run it tough.""",Repetition,very talented,111111131,,,,,,,,,,,,,,,
"""Here come the Jews.
They don't like Farrakhan, so they call me Hitler.
Well, that's a good name.
Hitler was a very great man.""","Bandwagon,Reductio_ad_hitlerum","""Here come the Jews.
They don't like Farrakhan, so they call me Hitler.
Well, that's a good name.
Hitler was a very great man.""",728758697,,,,,,,,,,,,,,,
"""Holy Father, I decided to write this letter to you because I'm tired of fighting, crying and suffering,"" Mr Cruz writes.",Loaded_Language,"tired of fighting, crying and suffering,""",728343601,,,,,,,,,,,,,,,
"""How can the autopsy report not be ‘finalized’ when the body was cremated more than five weeks ago?",Doubt,How can the autopsy report not be ‘finalized’ when the body was cremated more than five weeks ago,727493378,,,,,,,,,,,,,,,
