Sentence,Label,active,euphimism,details,exaggeration,bragging,litote,repetition,metaphor,he said,apparent denial,apparent concession,blame transfer,other kinds,opinion,irony
"In the film, ""Girl Interrupted,"" Winona Ryder plays an 18-year-old who enters a mental institution for what is diagnosed as borderline personality disorder .",anecdote,,,,,,,,,,,,,,,
The year is 1967 and the country is in turmoil over Vietnam and civil rights .,anecdote,,,,,,,,,,,,,,,
"While lying on her bed one night and watching TV , she sees a news report about a demonstration .",anecdote,,,,,,,,,,,,,,,
"The narrator says something that might apply to today's turmoil : ""We live in a time of doubt . The institutions we once trusted no longer seem reliable.""  As 2014 ends , the stock market is at record highs but our traditional institutions and self-confidence are in decline .",assumption,,,,,,,,,,,,,,,
A Pew Research Center study confirms one trend that has been obvious over several years .,testimony,,,,,,,,,,,,,,,
"The ""typical"" American family is no longer typical .",assumption,,,,,,,,,,,,,,,
"Just 46 percent of American children now live in homes with their married, heterosexual parents .",statistics,,,,,,,,,,,,,,,
Five percent have no parents at home .,statistics,,,,,,,,,,,,,,,
"They most likely are living with grandparents , says the study .",testimony,,,,,,,,,,,,,,,
These startling figures about the decline of the American family contrast with the year 1960 when 73 percent of American children lived in traditional families .,assumption,,,,,,,,,,,,,,,
A major contributor to this trend has been the assault on marriage and other institutions by the Baby Boom generation .,assumption,,,,,,,,,,,,,,,
"It was that generation that promoted cohabitation, no-fault divorce, hatred of the police (they called them ""pigs"" then , too) and disdain for the military and America, spawned not just by the Vietnam War but a life of relative ease unknown to their parents .",assumption,,,,,,,,,,,,,,,
The culture bomb dropped by the boomers created fallout still being felt today .,assumption,,,,,,,,,,,,,,,
"The two-plus generations born since the Sixties have been infused with the notion of entitlement, victimhood, envy and greed .",assumption,,,,,,,,,,,,,,,
"Since the elimination of the draft, young people are no longer expected to serve in the military and so most of them pursue whatever goals they wish with no expectation they should give something back to their country .",assumption,,,,,,,,,,,,,,,
It's one possible explanation for why we can no longer seem to win wars .,assumption,,,,,,,,,,,,,,,
History warns us what happens when empires refuse to teach known values that strengthen societies and help protect them from enemies intent on their destruction .,common-ground,,,,,,,,,,,,,,,
