الدين,الجنسيه,الحزب السياسي,الاسم
-,-,"الرابطة الإسلامية لأطباء إيران ,حزب المؤتلفة الإسلامية ",علي اكبر ولايتي
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,أمين الجميل 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,مستقل (توضيح) ,رينيه معوض 
-,-,ديمقراطي ,كليبورن بيل 
-,-,-,جيمس لويس CIA 
-,أمريكي (مترجمه),-,جانيت لي ستيفنز 
-,-,جمهوري ,نانسي ريغان 
-,أمريكي (مترجمه),-,فيليب سي حبيب 
-,لبناني (مترجمه),"مستقل (توضيح) ,مرتبط ,الحركة الوطنية اللبنانية خلال الحرب الأهلية اللبنانية ",رشيد كرامي 
-,أمريكي (مترجمه),-,روبرت أميس مسؤول وكالة المخابرات المركزية 
-,أمريكي (مترجمه),-,روبرت بير 
