الدين,الجنسيه,الحزب السياسي,الاسم
-,-,"الرابطة الإسلامية لأطباء إيران (مترجمه),حزب المؤتلفة الإسلامية ",-1
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,أمين الجميل 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,مستقل (توضيح) ,رينيه معوض 
-,-,جمهوري (مترجمه),باري جولدواتر 
-,-,جمهوري (مترجمه),تشارلز هـ بيرسي (مترجمه)
-,-,ديمقراطي (مترجمه),كليبورن بيل (مترجمه)
-,-,-,جيمس لويس CIA (مترجمه)
-,أمريكي (مترجمه),-,جانيت لي ستيفنز (مترجمه)
-,-,-,مناحم بيجن 
-,-,-,موشيه آرنز 
-,-,جمهوري (مترجمه),نانسي ريغان 
-,أمريكي (مترجمه),-,فيليب سي حبيب (مترجمه)
-,لبناني (مترجمه),"مستقل (توضيح) ,مرتبط (مترجمه),الحركة الوطنية اللبنانية خلال الحرب الأهلية اللبنانية (مترجمه)",رشيد كرامي 
-,أمريكي (مترجمه),-,روبرت أميس مسؤول وكالة المخابرات المركزية (مترجمه)
-,أمريكي (مترجمه),-,روبرت بير 
-,-,,رونالد ريغان 
-,إسرائيلي (مترجمه),,إسحاق شامير 
